activity,source_index,subject,sample,x,y,z
sitting,394,3,46,-0.00126436,0.00494727,0.00233425
sitting,394,3,47,-0.00169722,0.00496886,0.00215421
sitting,394,3,48,-0.00172623,0.00563221,-0.00023515
sitting,394,3,49,-0.00089282,0.00579823,0.00156497
sitting,394,3,50,-0.00074426,0.00412867,0.00796052
sitting,394,3,51,-0.00127705,0.00068146,0.00872162
sitting,394,3,52,-0.00108780,0.00128176,0.01171744
sitting,394,3,53,-0.00103110,0.00241869,0.01367541
sitting,394,3,54,-0.00218471,0.00460049,0.01084650
sitting,394,3,55,-0.00266812,0.00957717,0.01015598
sitting,394,3,56,-0.00250162,0.00645847,0.01177717
sitting,394,3,57,-0.00264180,0.00105050,0.01418603
sitting,394,3,58,-0.00295205,0.00017500,0.01209745
sitting,394,3,59,-0.00250313,-0.00226723,0.00622752
sitting,394,3,60,-0.00040364,-0.00152961,-0.00048883
sitting,394,3,61,0.00022098,0.00222264,-0.00397206
sitting,394,3,62,-0.00079745,0.00354200,0.00132792
sitting,394,3,63,-0.00287131,0.00576215,0.00366794
sitting,394,3,64,-0.00631260,0.00709207,0.00069568
sitting,394,3,65,-0.00429506,0.00446529,-0.00036374
sitting,394,3,66,0.00114357,0.00094972,-0.00259802
sitting,394,3,67,0.00184658,-0.00193175,-0.00122349
sitting,394,3,68,-0.00032051,-0.00404859,0.00328665
sitting,394,3,69,-0.00356712,-0.00198175,0.00561513
sitting,394,3,70,-0.00476546,0.00363941,0.00966694
sitting,394,3,71,-0.00254533,0.00382402,0.01135132
sitting,394,3,72,-0.00034874,0.00178360,0.00396566
sitting,394,3,73,0.00260045,0.00384036,-0.00383166
sitting,394,3,74,0.00237528,0.00376820,0.00037915
sitting,394,3,75,-0.00044797,0.00395903,0.00824324
sitting,394,3,76,-0.00001693,0.00420862,0.00838331
sitting,394,3,77,-0.00026472,0.00207525,0.00553578
sitting,394,3,78,0.00017247,0.00402167,0.00244499
sitting,394,3,79,0.00147578,0.00479109,0.00514651
sitting,394,3,80,0.00068523,0.00287698,0.01124126
sitting,394,3,81,0.00190763,0.00361744,0.00910455
sitting,394,3,82,0.00059944,0.00619321,0.00990538
sitting,394,3,83,-0.00220625,0.00931770,0.01797548
sitting,394,3,84,-0.00050102,0.00704735,0.02183307
sitting,394,3,85,-0.00052833,0.00392713,0.01796783
sitting,394,3,86,-0.00111975,0.00624865,0.01090697
sitting,394,3,87,0.00063742,0.00743664,0.00921889
sitting,394,3,88,0.00161960,0.01010730,0.00480318
sitting,394,3,89,0.00236700,0.01276532,0.00029062
sitting,394,3,90,0.00223156,0.00617003,0.00794001
sitting,394,3,91,0.00268601,-0.00018472,0.01109036
sitting,394,3,92,0.00362544,0.00297600,0.00878547
sitting,394,3,93,0.00164934,0.00648167,0.01183422
sitting,394,3,94,-0.00006399,0.00639509,0.01374650
sitting,394,3,95,0.00070805,0.00644049,0.01336102
sitting,394,3,96,0.00016226,0.00317722,0.01144872
sitting,394,3,97,-0.00395941,-0.00163203,0.00923813
sitting,394,3,98,-0.00721440,-0.00169077,0.00641740
sitting,394,3,99,-0.00458779,0.00238372,0.00571887
sitting,394,3,100,-0.00056474,0.00648430,0.00834462
sitting,394,3,101,0.00073380,0.00519699,0.00700189
sitting,394,3,102,0.00216288,0.00416363,0.00785453
sitting,394,3,103,0.00099761,0.00924223,0.01068669
sitting,394,3,104,-0.00266641,0.01184155,0.01259678
sitting,394,3,105,-0.00116516,0.01034260,0.01710010
sitting,394,3,106,0.00130362,0.00732359,0.01265167
sitting,394,3,107,0.00058884,0.00314280,0.00793328
sitting,394,3,108,0.00065840,0.00059887,0.01431471
sitting,394,3,109,-0.00111683,-0.00073902,0.01635956
sitting,394,3,110,-0.00356314,-0.00002985,0.01290411
sitting,394,3,111,-0.00347243,0.00028672,0.01207671
sitting,394,3,112,-0.00325770,-0.00081312,0.01550090
sitting,394,3,113,-0.00280754,0.00015837,0.01808535
sitting,394,3,114,-0.00160095,0.00048177,0.01248411
sitting,394,3,115,0.00003978,0.00175791,0.00660335
sitting,394,3,116,-0.00011115,0.00573498,0.00562693
sitting,394,3,117,-0.00109492,0.00797648,0.00478712
sitting,394,3,118,-0.00009520,0.00563225,0.00681363
sitting,394,3,119,-0.00040523,0.00157473,0.01100030
sitting,394,3,120,-0.00075891,0.00309624,0.00966306
sitting,394,3,121,-0.00005793,0.00413212,0.00767717
sitting,394,3,122,-0.00100907,0.00089263,0.00969608
sitting,394,3,123,-0.00216292,0.00082512,0.00823277
sitting,394,3,124,-0.00339476,0.00058167,0.00600041
sitting,394,3,125,-0.00270117,0.00211541,0.00570142
sitting,394,3,126,-0.00087608,0.00587833,0.00488744
sitting,394,3,127,-0.00194038,0.00476585,0.00732283
